index,movie_title,movie_year,movie_rating,movie_votes_count,title_word_count,link_url
42,The Prestige,2006,8.5,1261102,2,https://www.imdb.com/title/tt0482571/
43,The Departed,2006,8.5,1255425,2,https://www.imdb.com/title/tt0407887/
44,The Pianist,2002,8.5,781725,2,https://www.imdb.com/title/tt0253474/
45,Gladiator,2000,8.5,1417454,1,https://www.imdb.com/title/tt0172495/
46,American History X,1998,8.5,1076614,3,https://www.imdb.com/title/tt0120586/
47,The Usual Suspects,1995,8.5,1039070,3,https://www.imdb.com/title/tt0114814/
48,Léon: The Professional,1994,8.5,1096546,3,https://www.imdb.com/title/tt0110413/
49,The Lion King,1994,8.5,995959,3,https://www.imdb.com/title/tt0110357/
50,Terminator 2: Judgment Day,1991,8.5,1044589,4,https://www.imdb.com/title/tt0103064/
51,Cinema Paradiso,1988,8.5,248495,2,https://www.imdb.com/title/tt0095765/
52,Grave of the Fireflies,1988,8.5,257238,4,https://www.imdb.com/title/tt0095327/
53,Back to the Future,1985,8.5,1128171,4,https://www.imdb.com/title/tt0088763/
54,Once Upon a Time in the West,1968,8.5,317403,7,https://www.imdb.com/title/tt0064116/
55,Psycho,1960,8.5,638909,1,https://www.imdb.com/title/tt0054215/
56,Rear Window,1954,8.5,470750,2,https://www.imdb.com/title/tt0047396/
57,Casablanca,1942,8.5,548304,1,https://www.imdb.com/title/tt0034583/
58,Modern Times,1936,8.5,231388,2,https://www.imdb.com/title/tt0027977/
59,City Lights,1931,8.5,177902,2,https://www.imdb.com/title/tt0021749/
60,Hamilton,2020,8.4,78130,1,https://www.imdb.com/title/tt8503618/
61,Capernaum,2018,8.4,78807,1,https://www.imdb.com/title/tt8267604/
62,Joker,2019,8.4,1108646,1,https://www.imdb.com/title/tt7286456/
63,Raatchasan,2018,8.4,36743,1,https://www.imdb.com/title/tt7060344/
64,Ayla: The Daughter of War,2017,8.4,37586,5,https://www.imdb.com/title/tt6316138/
65,Your Name.,2016,8.4,233009,2,https://www.imdb.com/title/tt5311514/
66,Dangal,2016,8.4,174985,1,https://www.imdb.com/title/tt5074352/
67,Spider-Man: Into the Spider-Verse,2018,8.4,445081,4,https://www.imdb.com/title/tt4633694/
68,Avengers: Endgame,2019,8.4,973261,2,https://www.imdb.com/title/tt4154796/
69,Avengers: Infinity War,2018,8.4,950676,3,https://www.imdb.com/title/tt4154756/
70,Coco,2017,8.4,445807,1,https://www.imdb.com/title/tt2380307/
71,Django Unchained,2012,8.4,1449334,2,https://www.imdb.com/title/tt1853728/
72,The Dark Knight Rises,2012,8.4,1597616,4,https://www.imdb.com/title/tt1345836/
73,3 Idiots,2009,8.4,373338,2,https://www.imdb.com/title/tt1187043/
74,Like Stars on Earth,2007,8.4,183266,4,https://www.imdb.com/title/tt0986264/
75,WALL·E,2008,8.4,1054988,1,https://www.imdb.com/title/tt0910970/
76,The Lives of Others,2006,8.4,376297,4,https://www.imdb.com/title/tt0405094/
77,Oldboy,2003,8.4,548374,1,https://www.imdb.com/title/tt0364569/
78,Memento,2000,8.4,1181195,1,https://www.imdb.com/title/tt0209144/
79,Princess Mononoke,1997,8.4,370327,2,https://www.imdb.com/title/tt0119698/
80,Indiana Jones and the Raiders of the Lost Ark,1981,8.4,925628,9,https://www.imdb.com/title/tt0082971/
81,The Shining,1980,8.4,958657,2,https://www.imdb.com/title/tt0081505/
82,Apocalypse Now,1979,8.4,637165,2,https://www.imdb.com/title/tt0078788/
83,Alien,1979,8.4,834017,1,https://www.imdb.com/title/tt0078748/
84,High and Low,1963,8.4,40709,3,https://www.imdb.com/title/tt0057565/
85,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,471722,13,https://www.imdb.com/title/tt0057012/
86,Witness for the Prosecution,1957,8.4,118215,4,https://www.imdb.com/title/tt0051201/
87,Paths of Glory,1957,8.4,189262,3,https://www.imdb.com/title/tt0050825/
88,Pather Panchali,1955,8.4,29621,2,https://www.imdb.com/title/tt0048473/
89,Sunset Blvd.,1950,8.4,213417,2,https://www.imdb.com/title/tt0043014/
90,The Great Dictator,1940,8.4,215343,3,https://www.imdb.com/title/tt0032553/
91,Chhichhore,2019,8.3,46182,1,https://www.imdb.com/title/tt9052870/
92,1917,2019,8.3,513218,1,https://www.imdb.com/title/tt8579674/
93,Uri: The Surgical Strike,2019,8.3,53989,4,https://www.imdb.com/title/tt8291224/
94,Tumbbad,2018,8.3,38665,1,https://www.imdb.com/title/tt8239946/
95,K.G.F: Chapter 1,2018,8.3,49960,3,https://www.imdb.com/title/tt7838252/
96,Vikram Vedha,2017,8.3,34931,2,https://www.imdb.com/title/tt6148156/
97,Drishyam,2013,8.3,38742,1,https://www.imdb.com/title/tt3417422/
98,The Hunt,2012,8.3,308932,2,https://www.imdb.com/title/tt2106476/
99,A Separation,2011,8.3,234459,2,https://www.imdb.com/title/tt1832382/
100,Incendies,2010,8.3,166148,1,https://www.imdb.com/title/tt1255953/
101,The Father,2020,8.3,110489,2,https://www.imdb.com/title/tt10272386/
